frame_index,t_start,t_end,left_events,right_events,processing_seconds
32,1750921983.5240598,1750921983.5360599,190071,202343,0.33387328300159425
33,1750921983.5360599,1750921983.54806,186845,198728,0.33539612499589566
34,1750921983.54806,1750921983.56006,185731,193667,0.321851159009384
35,1750921983.56006,1750921983.57206,184667,191030,0.3300236709910678
36,1750921983.57206,1750921983.5840602,187048,194398,0.3349818370043067
37,1750921983.5840602,1750921983.5960603,183468,189957,0.31721225898945704
38,1750921983.5960603,1750921983.6080604,188683,199267,0.33032707900565583
39,1750921983.6080604,1750921983.6200604,219915,239192,0.3759411210048711
40,1750921983.6200604,1750921983.6320605,193766,215310,0.35055805199954193
41,1750921983.6320605,1750921983.6440606,188819,214839,0.3567765220068395
42,1750921983.6440606,1750921983.6560607,194190,211017,0.3368555950000882
43,1750921983.6560607,1750921983.6680608,186749,195672,0.32740749600634445
44,1750921983.6680608,1750921983.6800609,190431,198068,0.3298200589924818
45,1750921983.6800609,1750921983.692061,219040,226670,0.3706031919864472
46,1750921983.692061,1750921983.704061,228382,236830,0.38075894299254287
47,1750921983.704061,1750921983.716061,219804,227959,0.37224386699381284
48,1750921983.716061,1750921983.7280612,215155,224007,0.3677532329893438
49,1750921983.7280612,1750921983.7400613,210172,227652,0.37568877199373674
50,1750921983.7400613,1750921983.7520614,197613,221897,0.3747704940033145
51,1750921983.7520614,1750921983.7640615,217917,245439,0.3879893150005955
52,1750921983.7640615,1750921983.7760615,190132,220001,0.3496194430044852
53,1750921983.7760615,1750921983.7880616,195097,220583,0.36516114200640004
54,1750921983.7880616,1750921983.8000617,217067,234167,0.3901432659913553
55,1750921983.8000617,1750921983.8120618,238804,242712,0.38972331100376323
56,1750921983.8120618,1750921983.8240619,206416,209720,0.3534578760009026
57,1750921983.8240619,1750921983.836062,207925,212905,0.3560505869972985
58,1750921983.836062,1750921983.848062,206386,213554,0.35736235399963334
59,1750921983.848062,1750921983.8600621,219182,227776,0.3688770170119824
60,1750921983.8600621,1750921983.8720622,221823,237563,0.381095599004766
61,1750921983.8720622,1750921983.8840623,217851,243380,0.3856230980018154
62,1750921983.8840623,1750921983.8960624,208841,239214,0.3719658339978196
63,1750921983.8960624,1750921983.9080625,202863,222912,0.35703409199777525
64,1750921983.9080625,1750921983.9200625,216063,229675,0.3684479349903995
65,1750921983.9200625,1750921983.9320626,241023,245439,0.39936612600286026
66,1750921983.9320626,1750921983.9440627,247728,247437,0.42627175799862016
67,1750921983.9440627,1750921983.9560628,227363,228837,0.3735135059978347
68,1750921983.9560628,1750921983.9680629,218452,222519,0.35980011300125625
69,1750921983.9680629,1750921983.980063,217026,223811,0.3795772989979014
70,1750921983.980063,1750921983.992063,221577,234355,0.3706294059957145
71,1750921983.992063,1750921984.0040631,235032,245085,0.38945738899928983
72,1750921984.0040631,1750921984.0160632,227591,243588,0.3854493469989393
73,1750921984.0160632,1750921984.0280633,209132,228483,0.3675353080034256
74,1750921984.0280633,1750921984.0400634,208817,227239,0.36625666299369186
75,1750921984.0400634,1750921984.0520635,209615,226040,0.3660137719998602
76,1750921984.0520635,1750921984.0640635,215051,228148,0.3813501999975415
77,1750921984.0640635,1750921984.0760636,227376,236528,0.3836946840019664
78,1750921984.0760636,1750921984.0880637,227948,233193,0.38303511899721343
79,1750921984.0880637,1750921984.1000638,229331,232089,0.37819467499502935
80,1750921984.1000638,1750921984.112064,221850,222337,0.36514163100218866
81,1750921984.112064,1750921984.124064,227948,226394,0.3803306170011638
82,1750921984.124064,1750921984.136064,231411,234353,0.38511512300465256
83,1750921984.136064,1750921984.1480641,244938,246577,0.3990459659980843
84,1750921984.1480641,1750921984.1600642,231251,240492,0.39948005000769626
85,1750921984.1600642,1750921984.1720643,222920,237353,0.3748953260073904
86,1750921984.1720643,1750921984.1840644,219793,234782,0.37326418900920544
87,1750921984.1840644,1750921984.1960645,225096,234185,0.37596668298647273
88,1750921984.1960645,1750921984.2080646,227177,227059,0.3780264560045907
89,1750921984.2080646,1750921984.2200646,232207,228665,0.38159916100266855
90,1750921984.2200646,1750921984.2320647,240868,242136,0.39282450699829496
